2025-01-14 00:37:12,337 - b2_model - INFO - Training class distribution: Counter({'l-pass': 378, 'r-pass': 353, 'l-set': 304, 'l-spike': 289, 'r-set': 283, 'r-spike': 261, 'l-winpoint': 161, 'r-winpoint': 123})
2025-01-14 00:37:12,337 - b2_model - INFO - Validation class distribution: Counter({'r-pass': 238, 'l-pass': 222, 'r-spike': 189, 'l-spike': 174, 'r-set': 169, 'l-set': 160, 'l-winpoint': 104, 'r-winpoint': 85})
2025-01-14 00:37:14,105 - b2_model - INFO - Current path: C:\Project\project
2025-01-14 00:37:14,105 - b2_model - INFO - Files in current path: ['.git', '.gitignore', 'app.log', 'dataloading', 'dataset', 'modeling', 'models_trained', 'players_dataset', 'README.md', 'saved_pickles', 'utils']
2025-01-14 00:37:14,105 - b2_model - INFO - No model found starting from scratch
2025-01-14 00:37:14,121 - b2_model - INFO - Epoch 1, Current LR: 0.0001
2025-01-14 00:37:30,556 - b2_model - INFO - Training: Epoch 1, Batch 19/135 loss 2.1276072326459383 accuracy 0.190625
2025-01-14 00:37:46,937 - b2_model - INFO - Training: Epoch 1, Batch 39/135 loss 1.9796746908090053 accuracy 0.2328125
2025-01-14 00:38:04,644 - b2_model - INFO - Training: Epoch 1, Batch 59/135 loss 1.8585533509820193 accuracy 0.2760416666666667
2025-01-14 00:38:21,786 - b2_model - INFO - Training: Epoch 1, Batch 79/135 loss 1.795293897013121 accuracy 0.29375
2025-01-14 00:38:39,604 - b2_model - INFO - Training: Epoch 1, Batch 99/135 loss 1.7321439499806877 accuracy 0.316875
2025-01-14 00:38:56,880 - b2_model - INFO - Training: Epoch 1, Batch 119/135 loss 1.6913371576982386 accuracy 0.34010416666666665
2025-01-14 00:39:07,559 - b2_model - INFO - Epoch 1, Loss: 1.6548285793375086 Accuracy: 0.34572490706319703
2025-01-14 00:39:21,628 - b2_model - INFO - Evaluating : Epoch 1, Batch 14/84 loss 1.6237118669918604 accuracy 0.37916666666666665
2025-01-14 00:39:35,100 - b2_model - INFO - Evaluating : Epoch 1, Batch 29/84 loss 1.6034244710001453 accuracy 0.38333333333333336
2025-01-14 00:39:49,296 - b2_model - INFO - Evaluating : Epoch 1, Batch 44/84 loss 1.491437246853655 accuracy 0.43472222222222223
2025-01-14 00:40:01,734 - b2_model - INFO - Evaluating : Epoch 1, Batch 59/84 loss 1.4417185136827373 accuracy 0.45416666666666666
2025-01-14 00:40:13,409 - b2_model - INFO - Evaluating : Epoch 1, Batch 74/84 loss 1.4158855273916915 accuracy 0.4691666666666667
2025-01-14 00:40:19,410 - b2_model - INFO - Eval Epoch 1: Loss 1.3802174507152467, Accuracy: 0.47576435495898584
2025-01-14 00:40:19,487 - b2_model - INFO - Epoch 2, Current LR: 0.0001
2025-01-14 00:40:38,982 - b2_model - INFO - Training: Epoch 2, Batch 19/135 loss 1.4619772246009426 accuracy 0.475
2025-01-14 00:40:58,078 - b2_model - INFO - Training: Epoch 2, Batch 39/135 loss 1.3697456472959273 accuracy 0.4859375
2025-01-14 00:41:14,734 - b2_model - INFO - Training: Epoch 2, Batch 59/135 loss 1.355756952600964 accuracy 0.4822916666666667
2025-01-14 00:41:30,415 - b2_model - INFO - Training: Epoch 2, Batch 79/135 loss 1.3651793463320672 accuracy 0.47890625
2025-01-14 00:41:46,665 - b2_model - INFO - Training: Epoch 2, Batch 99/135 loss 1.3595420507469562 accuracy 0.470625
2025-01-14 00:42:03,382 - b2_model - INFO - Training: Epoch 2, Batch 119/135 loss 1.3398727524180372 accuracy 0.47760416666666666
2025-01-14 00:42:14,944 - b2_model - INFO - Epoch 2, Loss: 1.3167175465159946 Accuracy: 0.48280669144981414
2025-01-14 00:42:30,661 - b2_model - INFO - Evaluating : Epoch 2, Batch 14/84 loss 1.4794497234480721 accuracy 0.4791666666666667
2025-01-14 00:42:43,986 - b2_model - INFO - Evaluating : Epoch 2, Batch 29/84 loss 1.4742829141945675 accuracy 0.45208333333333334
2025-01-14 00:42:57,257 - b2_model - INFO - Evaluating : Epoch 2, Batch 44/84 loss 1.3652820939367467 accuracy 0.5
2025-01-14 00:43:08,786 - b2_model - INFO - Evaluating : Epoch 2, Batch 59/84 loss 1.312259503340317 accuracy 0.51875
2025-01-14 00:43:19,726 - b2_model - INFO - Evaluating : Epoch 2, Batch 74/84 loss 1.2843404251175958 accuracy 0.5225
2025-01-14 00:43:25,158 - b2_model - INFO - Eval Epoch 2: Loss 1.2515572153386616, Accuracy: 0.5257270693512305
2025-01-14 00:43:25,284 - b2_model - INFO - Epoch 3, Current LR: 7e-05
2025-01-14 00:43:42,306 - b2_model - INFO - Training: Epoch 3, Batch 19/135 loss 1.1955372220591496 accuracy 0.58125
2025-01-14 00:43:58,327 - b2_model - INFO - Training: Epoch 3, Batch 39/135 loss 1.211673923027821 accuracy 0.5546875
2025-01-14 00:44:14,528 - b2_model - INFO - Training: Epoch 3, Batch 59/135 loss 1.1799342642396182 accuracy 0.5604166666666667
2025-01-14 00:44:30,260 - b2_model - INFO - Training: Epoch 3, Batch 79/135 loss 1.1788957118988037 accuracy 0.5546875
2025-01-14 00:44:46,050 - b2_model - INFO - Training: Epoch 3, Batch 99/135 loss 1.1794763436221114 accuracy 0.56
2025-01-14 00:45:02,050 - b2_model - INFO - Training: Epoch 3, Batch 119/135 loss 1.1739158480107283 accuracy 0.5541666666666667
2025-01-14 00:45:13,012 - b2_model - INFO - Epoch 3, Loss: 1.1640193294595789 Accuracy: 0.5520446096654275
